Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	lnL
8834	0.3368519	0.0596395	0.0738477	0.0638477	0.0711419	0.0519151	0.0622511	0.0640481	-255150.723
8836	0.3068763	0.0543324	0.0702788	0.0700843	0.0832192	0.0620332	0.0683318	0.0703043	-255147.308
8838	0.3007785	0.0513783	0.0673692	0.0747055	0.0785021	0.0614341	0.0683318	0.0703043	-255151.214
8840	0.3093701	0.0522635	0.0672199	0.0672007	0.0786764	0.0615706	0.0677149	0.0653956	-255148.476
8842	0.2788171	0.0493297	0.0594962	0.0788548	0.0872807	0.0696789	0.0766323	0.0740076	-255146.976
8844	0.3077877	0.0544553	0.0678131	0.0671942	0.0773983	0.0631203	0.0694192	0.0670416	-255147.879
8846	0.3077877	0.0544553	0.0678131	0.0671942	0.0833631	0.0668735	0.0694192	0.0692433	-255147.636
8848	0.3077877	0.0522678	0.0678131	0.0657850	0.0780685	0.0628209	0.0694192	0.0650190	-255150.367
8850	0.3077877	0.0522678	0.0702440	0.0676750	0.0817355	0.0628209	0.0685858	0.0650190	-255147.215
8852	0.3552762	0.0600506	0.0786784	0.0611178	0.0727777	0.0544239	0.0594182	0.0581257	-255146.073
8854	0.3402529	0.0621595	0.0753513	0.0648477	0.0721531	0.0568269	0.0620417	0.0614071	-255146.684
8856	0.3447661	0.0621595	0.0774709	0.0614566	0.0721531	0.0568269	0.0620417	0.0574107	-255146.881
8858	0.3495561	0.0621595	0.0774709	0.0614566	0.0721531	0.0531135	0.0599233	0.0574107	-255146.178
8860	0.3445795	0.0592094	0.0737941	0.0618719	0.0735231	0.0557599	0.0629090	0.0602712	-255146.891
8862	0.3445795	0.0592094	0.0778374	0.0640454	0.0735231	0.0557599	0.0607715	0.0602712	-255145.908
8864	0.3576571	0.0649566	0.0768530	0.0603825	0.0693181	0.0571133	0.0601907	0.0568241	-255147.538
8866	0.3576571	0.0610944	0.0799106	0.0603825	0.0693181	0.0571133	0.0582834	0.0627013	-255149.547
