Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
490	-5691.587	-5716.82	25.23283	0.0249731	0.025129	0.025433	0.0530116	0.0379022	0.0470578	0.0515315	0.0241198	0.00444568	0.0069009	0.0748096	0.065062	0.0109652	0.00892112	0.0124923	0.00201892	0.0158102	0.0193983	0.0169982	0.0343032	0.0153331	0.5766168
500	-5688.759	-5713.964	25.20456	0.0238107	0.0241217	0.0193952	0.047983	0.0332139	0.0348502	0.0523861	0.0236298	0.013745	0.00333647	0.0810566	0.0530448	0.00637522	0.0106559	0.0155698	0.00868686	0.0163033	0.0283404	0.0231112	0.0346824	0.0251452	0.5794438
510	-5692.675	-5717.869	25.19394	0.0305303	0.0259919	0.0213714	0.0379919	0.0478994	0.0302316	0.054933	0.0159948	0.0114572	0.00537704	0.0799975	0.0579399	0.0064009	0.00243478	0.0132472	0.00571743	0.0146403	0.0243347	0.026582	0.0401545	0.0272771	0.580505
520	-5692.946	-5717.742	24.79584	0.0344415	0.0285401	0.01788	0.0671625	0.0462023	0.0271874	0.0639251	0.0243384	0.0089097	0.00598733	0.084279	0.0585775	0.00852975	0.0049076	0.0225527	0.0133583	0.0135566	0.0159779	0.0125321	0.0316343	0.0298351	0.6203151
530	-5691.258	-5716.492	25.23352	0.035977	0.0301458	0.0199702	0.0437179	0.0402533	0.0381125	0.0458888	0.0172615	0.00521103	0.0022442	0.099886	0.0485285	0.00966549	0.0106742	0.0167789	0.00860186	0.00963821	0.0186043	0.0132625	0.0378915	0.0242333	0.5765471
540	-5687.554	-5712.917	25.36369	0.0215455	0.0294534	0.0190286	0.0509591	0.0324174	0.0399525	0.051194	0.0241586	0.0125846	0.00147294	0.0729327	0.0607069	0.0062897	0.00237327	0.0159743	0.00581273	0.0118571	0.0224776	0.0230644	0.0312409	0.0280338	0.5635301
550	-5689.337	-5714.516	25.17942	0.0246214	0.0238652	0.0197165	0.0462721	0.0470167	0.0346657	0.0435192	0.0275685	0.00733692	0.00396757	0.0902917	0.0562432	0.0183391	0.00999749	0.0144996	0.00397514	0.0151652	0.017624	0.0222441	0.0337657	0.0212622	0.5819572
560	-5697.135	-5722.14	25.00468	0.0274643	0.0381883	0.0293104	0.0473338	0.0332625	0.0354029	0.0598368	0.0161483	0.00652104	0.00279172	0.0948024	0.049919	0.0136752	0.00575325	0.0174211	0.00550275	0.0106579	0.00821769	0.024383	0.0447784	0.0280611	0.5994319
570	-5692.381	-5717.256	24.87472	0.0301315	0.0305987	0.0191846	0.0587445	0.0291026	0.0373362	0.0505297	0.0295329	0.0128335	0.00398051	0.0917486	0.0526281	0.0124971	0.00146042	0.0195237	0.00615943	0.0196665	0.0213229	0.0206435	0.0281085	0.0366939	0.6124274
580	-5690.103	-5714.897	24.79486	0.0248726	0.0314061	0.0192632	0.0535191	0.045036	0.0351139	0.052768	0.0180766	0.0137139	0.00444243	0.0944975	0.0601015	0.0108635	0.0123169	0.0133374	0.000706762	0.0174189	0.0194018	0.0194297	0.03971	0.034418	0.6204137
590	-5693.677	-5719.782	26.10525	0.0219203	0.0225133	0.0226331	0.0396078	0.0329147	0.032134	0.0434744	0.019833	0.00636716	0.00260982	0.0670214	0.0489564	0.00999879	0.0046902	0.00918276	0.00587772	0.0144492	0.0186075	0.0144252	0.0238052	0.0283519	0.4893739
600	-5696.817	-5721.884	25.06693	0.0272806	0.0379344	0.0100228	0.0686362	0.0398251	0.0406182	0.0456753	0.0237331	0.0129967	0.00560889	0.0792517	0.0619196	0.00781038	0.00550102	0.0161071	0.00654057	0.00762221	0.018804	0.0197962	0.026374	0.0311485	0.5932064
610	-5685.943	-5711.354	25.4106	0.0352326	0.0317631	0.0197007	0.0460427	0.043516	0.0375488	0.0449918	0.0209016	0.00725083	0.00276294	0.074974	0.0553651	0.00584305	0.0013321	0.0173117	0.0049766	0.0124579	0.0239967	0.0174096	0.028387	0.0270744	0.5588393
620	-5688.842	-5713.895	25.0536	0.0230592	0.0275795	0.019619	0.0506363	0.0414664	0.0460733	0.0522298	0.020347	0.00587906	0.00564126	0.081613	0.0781139	0.0119362	0.00544851	0.0107227	0.00186527	0.0142632	0.0225415	0.0196443	0.0305063	0.0253537	0.5945397
630	-5687.359	-5712.955	25.59553	0.0293234	0.0237119	0.0186457	0.0451206	0.0352481	0.0370615	0.0397096	0.0208544	0.00997572	0.00448822	0.0750735	0.0590823	0.00577983	0.0127001	0.0155227	0.00359968	0.00967743	0.0201656	0.0158429	0.0371676	0.0215951	0.5403459
640	-5689.488	-5714.875	25.38647	0.0294312	0.02936	0.0241235	0.0548314	0.0352792	0.0212381	0.0570985	0.0216637	0.00647321	0.00508014	0.0764694	0.0554938	0.00497907	0.00909972	0.0103735	0.00726171	0.0188337	0.0264678	0.0119036	0.0344803	0.0213104	0.5612519
650	-5691.073	-5716.221	25.14794	0.0306711	0.0298803	0.0168081	0.0599188	0.0406048	0.0333426	0.0499804	0.0241226	0.0119523	0.00987215	0.0842628	0.0465142	0.00772534	0.00356192	0.0177028	0.00965056	0.00952746	0.0304779	0.0173797	0.0322756	0.0188741	0.5851054
660	-5688.277	-5713.643	25.36601	0.0262053	0.0380374	0.0185198	0.053077	0.0406048	0.0403476	0.0501433	0.0196296	0.010689	0.00524359	0.0791402	0.0487828	0.00694652	0.00240758	0.00888598	0.0060394	0.0111511	0.0169138	0.0173797	0.0422774	0.020876	0.5632981
670	-5685.016	-5710.29	25.27422	0.0280831	0.0285453	0.0184002	0.0509232	0.0354864	0.0390769	0.0507346	0.0202007	0.0100565	0.00131824	0.0784606	0.0715337	0.0101031	0.0046303	0.011896	0.00630029	0.0113145	0.0179581	0.0225622	0.0338913	0.0210026	0.5724779
680	-5682.142	-5707.454	25.31264	0.0264755	0.0319442	0.0174941	0.0496729	0.0399391	0.0342021	0.0552228	0.0200938	0.0106524	0.00493094	0.0898934	0.0563527	0.00778434	0.00603394	0.0126959	0.00630029	0.0130523	0.016159	0.0156575	0.0268672	0.0272111	0.5686355
690	-5687.558	-5712.788	25.23024	0.0309276	0.0227965	0.0214623	0.0522486	0.0399192	0.0329845	0.0539921	0.0231964	0.00569502	0.00396715	0.0785858	0.0603075	0.00817745	0.0117137	0.0177751	0.0034685	0.0116647	0.0165514	0.0172454	0.0266762	0.0375201	0.5768752
700	-5693.507	-5718.593	25.08559	0.0258458	0.0307676	0.0213629	0.04657	0.0417348	0.0271422	0.0549254	0.0234388	0.0193173	0.0118426	0.0765333	0.0658326	0.0112304	0.00164003	0.015757	0.00488003	0.00912089	0.0187735	0.0183913	0.038095	0.028139	0.5913405
710	-5686.761	-5712.085	25.32414	0.0341717	0.0302588	0.0127686	0.0506084	0.0313921	0.0397602	0.0498873	0.0270122	0.00833742	0.00281022	0.0764001	0.0634557	0.0119547	0.00254334	0.0124704	0.00558024	0.0116077	0.0224019	0.0175406	0.0329936	0.0235304	0.5674856
720	-5683.84	-5709.454	25.61371	0.0269263	0.0232974	0.0168854	0.0526046	0.0366069	0.02909	0.0445544	0.0249668	0.00886358	0.00363904	0.0720583	0.0553685	0.00917617	0.00335979	0.0124128	0.00455072	0.0118876	0.0261063	0.0138584	0.0388026	0.0235126	0.5385282
730	-5691.225	-5716.093	24.86802	0.0269453	0.0299275	0.0279035	0.0480588	0.026977	0.0368662	0.064509	0.0252914	0.0139581	0.00381987	0.0976054	0.0573016	0.00906045	0.00740498	0.0136381	0.00226863	0.0104465	0.025112	0.0217301	0.0366009	0.0276717	0.613097
740	-5689.887	-5715.485	25.59759	0.0241056	0.0243608	0.02192	0.0393379	0.0376767	0.0272234	0.0463753	0.0206386	0.00508496	0.00474398	0.0785825	0.0717855	0.0143497	0.00277932	0.0141442	0.00919291	0.0121455	0.0153643	0.0207503	0.028198	0.0213813	0.5401408
750	-5688.736	-5714.073	25.33754	0.0276313	0.0386207	0.0221437	0.0516993	0.0332053	0.0411239	0.0491141	0.0235338	0.00546539	0.0054204	0.0807002	0.0520241	0.00834134	0.0068967	0.0070178	0.0074027	0.018581	0.0150926	0.0143107	0.0359006	0.0219198	0.5661452
