Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	sr[5]	TL
340	-5217.226	-5245.385	28.15826	0.1897765	0.0388914	0.0357869	0.0125704	0.0604028	0.0424612	0.0358374	0.0751311	0.0214774	0.0140201	0.0063774	0.145531	0.0572741	0.0173321	0.00438326	0.00845507	0.0102539	0.00348699	0.0350709	0.0351865	0.0273114	0.0244993	0.107029	0.287848	0.0361941	0.0736112	0.408061	0.087256	0.283987	0.188255	0.243654	0.284104	0.000112974	0.00862173	0.104272	0.631587	4.25541	0.7117405
350	-5217.291	-5245.753	28.46217	0.1984642	0.0443046	0.0271649	0.03069	0.0588851	0.0398475	0.0281227	0.0833932	0.0239189	0.00896416	0.00824793	0.0950139	0.0584626	0.0147543	0.00367261	0.00772328	0.017414	0.00295793	0.043397	0.0265526	0.0241801	0.0336819	0.160705	0.285335	0.0387013	0.0850024	0.355136	0.0751198	0.256891	0.191331	0.242281	0.309497	0.000163558	0.0106194	0.116536	0.660623	4.21206	0.6813491
360	-5217.398	-5245.13	27.7323	0.224912	0.0268789	0.0324704	0.0301012	0.0731045	0.0446674	0.0421702	0.0763622	0.036303	0.0121081	0.00552887	0.108509	0.0734251	0.0218836	0.00367261	0.0144059	0.0142492	0.00534765	0.0362605	0.0337179	0.0191396	0.0440301	0.114572	0.319306	0.0471965	0.104661	0.346305	0.0679609	0.259158	0.199749	0.253553	0.287539	0.000422904	0.0181048	0.154644	0.739633	4.0872	0.7543361
370	-5216.738	-5244.408	27.67004	0.2074796	0.0341086	0.0283266	0.027452	0.0535421	0.0456179	0.0411754	0.0820927	0.034297	0.0109457	0.00466919	0.154881	0.0757178	0.0224594	0.00358148	0.011499	0.0190143	0.00260362	0.0337467	0.0280054	0.0204558	0.0263708	0.122508	0.307989	0.0310036	0.0880714	0.374868	0.0755611	0.284307	0.17487	0.225051	0.315772	0.000232359	0.0129377	0.129441	0.689087	4.1683	0.7605624
380	-5222.992	-5250.614	27.6218	0.2355447	0.0341412	0.0327961	0.0179391	0.0878134	0.0441153	0.0240987	0.0802268	0.0439947	0.00988825	0.00522697	0.158452	0.0676384	0.0113697	0.00401158	0.0145995	0.0101715	0.003466	0.0352574	0.0258287	0.0141502	0.0401999	0.0813042	0.277137	0.0448655	0.100751	0.413604	0.0823374	0.296054	0.182396	0.233825	0.287725	0.000583338	0.0216754	0.170028	0.767776	4.03994	0.7653856
390	-5214.212	-5241.295	27.08306	0.2034315	0.0441251	0.0371036	0.0193003	0.0781459	0.0518159	0.0430363	0.091158	0.0267593	0.0192793	0.00120778	0.152401	0.0720677	0.00810408	0.00907609	0.0127467	0.0153978	0.00426609	0.0536278	0.0323255	0.00933692	0.0379791	0.0965414	0.259651	0.0438667	0.117559	0.411063	0.0713191	0.278465	0.196912	0.239925	0.284698	0.000199235	0.0118661	0.123629	0.676511	4.1878	0.8192602
400	-5216.093	-5244.31	28.21769	0.1755018	0.0316722	0.0356475	0.0196205	0.0654646	0.0395398	0.0352499	0.0554656	0.035389	0.00665289	0.00348541	0.121258	0.0668381	0.0153256	0.0153944	0.0103801	0.00801991	0.0023652	0.0519515	0.0275947	0.0135291	0.0449534	0.121445	0.299852	0.0562392	0.121391	0.346351	0.0547214	0.258954	0.205971	0.23028	0.304795	5.6794e-05	0.00584882	0.0846931	0.580266	4.32914	0.7057973
410	-5214.612	-5242.675	28.0628	0.1968669	0.0290651	0.037526	0.0286771	0.0653876	0.0603178	0.0382092	0.0688465	0.0279228	0.0175612	0.00472491	0.107898	0.0571962	0.0173943	0.0125418	0.0157066	0.00991107	0.00400118	0.0460726	0.0290135	0.01395	0.0293629	0.118841	0.270181	0.0400322	0.0891651	0.425964	0.0558178	0.273684	0.189276	0.233951	0.303089	0.000153177	0.0102346	0.114267	0.655405	4.21994	0.721286
420	-5219.632	-5247.85	28.21801	0.1801789	0.0355494	0.0284597	0.0215977	0.0534374	0.0592135	0.0382092	0.0679526	0.0212989	0.00450197	0.0110191	0.122538	0.0617193	0.0280037	0.0104671	0.00885283	0.0140532	0.00200992	0.0435497	0.0301216	0.0143335	0.0288765	0.105504	0.299963	0.0405336	0.121734	0.363714	0.0685519	0.251993	0.185636	0.245464	0.316907	7.20094e-05	0.00668767	0.091012	0.597589	4.30464	0.7057651
430	-5213.487	-5241.662	28.17538	0.1877479	0.0321089	0.0301296	0.0196165	0.0656852	0.0447192	0.0426983	0.0616446	0.0232541	0.0162224	0.00242562	0.13408	0.0788236	0.017574	0.0107079	0.0112036	0.00835774	0.000538724	0.0429774	0.0197233	0.0223132	0.0252243	0.132453	0.298797	0.0458925	0.111074	0.340133	0.0716511	0.26692	0.19387	0.215291	0.323919	0.000103112	0.00818903	0.101441	0.624572	4.2657	0.710028
440	-5220.621	-5247.947	27.32633	0.2429123	0.0320012	0.0338418	0.0161173	0.0825489	0.0543035	0.0371071	0.0662607	0.0254468	0.0150305	0.00530914	0.135758	0.0873084	0.0184886	0.00159971	0.0224522	0.0246414	0.00244825	0.0450288	0.0251496	0.0221589	0.0419319	0.118587	0.316555	0.0352457	0.0701374	0.375663	0.0838115	0.269742	0.216387	0.235755	0.278115	0.00071699	0.0243233	0.18064	0.786174	4.00815	0.7949329
450	-5213.2	-5241.46	28.2597	0.2018034	0.0419767	0.0302421	0.0215443	0.07419	0.0527864	0.028559	0.0623112	0.0289901	0.00987616	0.00445287	0.104695	0.0885489	0.013707	0.00493998	0.00565718	0.00716675	0.00458689	0.0474387	0.0252855	0.018095	0.0265464	0.129775	0.319178	0.0458985	0.113457	0.330254	0.0614371	0.263127	0.194532	0.230968	0.311373	0.000186958	0.0114492	0.121299	0.671359	4.19571	0.7015957
460	-5214.196	-5241.859	27.66258	0.1938301	0.0399999	0.0410187	0.0267574	0.0601256	0.0376216	0.0346157	0.0707742	0.039734	0.0169163	0.00519299	0.129199	0.0925049	0.010926	0.00785543	0.0161541	0.0167658	0.00528246	0.0322649	0.0254415	0.0144466	0.0377112	0.112033	0.281741	0.0495001	0.106302	0.388401	0.0620229	0.281501	0.187196	0.239615	0.291688	0.00013482	0.00952469	0.109969	0.645335	4.23504	0.7613083
470	-5215.104	-5242.39	27.28651	0.2307543	0.0376038	0.0344573	0.0215427	0.0965783	0.0567012	0.0441408	0.0761662	0.0230772	0.012501	0.0102054	0.120186	0.0787999	0.0156233	0.00457376	0.0219453	0.0220495	0.00291395	0.045634	0.0242418	0.0182537	0.0317194	0.100024	0.274906	0.0408664	0.090808	0.410163	0.0832328	0.280804	0.192729	0.229304	0.297164	0.000506511	0.0200291	0.163103	0.755336	4.06103	0.7989146
480	-5217.043	-5244.641	27.5985	0.2004905	0.0389141	0.0390568	0.0186473	0.0556629	0.0493468	0.0500274	0.0603353	0.0306238	0.0083277	0.00367557	0.122065	0.110828	0.0195793	0.0138006	0.00513809	0.00978097	0.000387866	0.0445067	0.0273094	0.0159724	0.04373	0.103716	0.307821	0.0450454	0.0884183	0.38525	0.069749	0.302582	0.197807	0.221777	0.277835	0.000177478	0.0111189	0.119424	0.667165	4.20211	0.7677158
490	-5208.888	-5236.651	27.76307	0.1939089	0.0360415	0.0318357	0.0321798	0.0857473	0.0522619	0.0438422	0.0611876	0.0211037	0.00883817	0.00434047	0.124957	0.0731728	0.0171729	0.00565336	0.00856098	0.013479	0.00142637	0.0456714	0.036902	0.0153286	0.0315569	0.13223	0.310412	0.0377133	0.0884541	0.364197	0.0669938	0.276816	0.188487	0.233055	0.301642	0.000135274	0.00954275	0.11008	0.645599	4.23464	0.751259
500	-5217.664	-5246.104	28.43995	0.2316826	0.0305524	0.0318357	0.0331184	0.068328	0.0304802	0.0330905	0.0716561	0.0397621	0.0108728	0.00333307	0.0888415	0.0752205	0.0171729	0.00565336	0.0176601	0.0102412	0.0047736	0.0456714	0.0285754	0.0123183	0.024413	0.121717	0.307834	0.0357751	0.0817656	0.379082	0.0738262	0.268437	0.201392	0.233995	0.296177	0.000520803	0.0203434	0.164446	0.757777	4.05691	0.6835708
510	-5222.018	-5248.942	26.92462	0.2052229	0.0326784	0.0376558	0.0300557	0.0682379	0.0607825	0.0394794	0.0899289	0.041998	0.0127908	0.00813516	0.132872	0.101722	0.0236741	0.00682138	0.00974181	0.0147041	0.000212084	0.0470107	0.0349307	0.0117584	0.0299137	0.139196	0.265137	0.0317482	0.0961005	0.415366	0.0524523	0.267046	0.198322	0.230268	0.304364	0.000213427	0.0123342	0.126198	0.682117	4.17914	0.835104
520	-5213.868	-5242.122	28.254	0.2361104	0.027187	0.0316906	0.0262821	0.079922	0.0484463	0.0413396	0.0585064	0.0298699	0.00827514	0.00307034	0.117565	0.085628	0.00951051	0.0039581	0.0104696	0.0132292	0.0139674	0.0298815	0.0271201	0.00987737	0.0263699	0.114283	0.254877	0.050583	0.123604	0.386478	0.0701737	0.281528	0.192957	0.225086	0.30043	0.000592924	0.0218738	0.170844	0.76922	4.03747	0.702166
